IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Stray,2012,July,,Older than 1 year,MALE,false,SMALL,BLACK,2012,Euthanized
Stray,2012,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,2012,Euthanized
Stray,2011,February,,,UNKNOWN,false,LARGE,BLACK,2011,Euthanized
Stray,2012,March,,,UNKNOWN,false,KITTN,GRAY,2012,Other
Stray,2011,March,,,FEMALE,false,LARGE,BRN TIGER,2011,Other
Stray,2012,March,,Older than 1 year,MALE,true,MED,TRICOLOR,2012,Home
Owner Surrender,2011,June,PIT BULL - MIX,Infant - Younger than 6 months,MALE,false,MED,BL BRINDLE,2011,Euthanized
Stray,2011,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLK TABBY,2011,Euthanized
Stray,2012,April,ROTTWEILER - GERM SHEPHERD,Older than 7 years,MALE,true,X-LRG,BLACK,2012,Euthanized
Stray,2011,March,,,FEMALE,false,LARGE,TORTIE,2011,Euthanized
Stray,2011,July,BEAGLE - MIX,Youth - Younger than 1 year,FEMALE,true,SMALL,TRICOLOR,2011,Home
Owner Surrender,2011,September,,,FEMALE,false,MED,GRAY TABBY,2011,Other
Foster Return,2012,January,,,MALE,false,KITTN,WHITE,2012,Home
Stray,2012,January,DOBERMAN PINSCH - LABRADOR RETR,Older than 1 year,FEMALE,true,MED,BLACK,2012,Home
Stray,2011,January,,Older than 7 years,MALE,false,LARGE,BROWN,2011,Home
Stray,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TIGER,2011,Home
Stray,2011,March,,,FEMALE,false,MED,CALICO,2011,Euthanized
Impound,2012,March,GERM SHEPHERD - MIX,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,2012,Home
Owner Surrender,2011,July,,Older than 7 years,FEMALE,true,MED,TRICOLOR,2011,Euthanized
Stray,2011,January,,Older than 7 years,FEMALE,false,LARGE,TAN,2011,Home
Stray,2011,August,,,FEMALE,false,KITTN,CALICO,2011,Euthanized
Owner Surrender,2012,September,,Older than 1 year,MALE,true,MED,WHITE,2012,Home
Stray,2011,October,,,FEMALE,false,MED,CALICO,2011,Euthanized
Stray,2012,March,,,MALE,false,LARGE,BLACK,2012,Euthanized
Reported Lost by Public,2012,August,,,MALE,false,MED,UNKNOWN,2012,Other
Stray,2011,October,,Older than 1 year,MALE,false,LARGE,BLACK,2011,Euthanized
Owner Surrender,2011,August,,,FEMALE,false,LARGE,WHITE,2011,Euthanized
Stray,2012,August,GERM SHEPHERD - MIX,Older than 1 year,MALE,false,MED,BLACK,2012,Euthanized
Stray,2012,August,BEAGLE - MIX,Older than 1 year,MALE,false,MED,TRICOLOR,2012,Euthanized
Owner Surrender,2011,November,,Older than 1 year,FEMALE,true,LARGE,BROWN,2011,Euthanized
Owner Surrender,2011,December,,Older than 1 year,MALE,true,MED,TRICOLOR,2012,Home
Owner Surrender,2011,January,,,FEMALE,false,MED,BLK TABBY,2011,Euthanized
Stray,2011,January,,,FEMALE,false,MED,BLACK,2011,Other
Owner Surrender,2012,March,,Youth - Younger than 1 year,FEMALE,true,MED,GRAY TABBY,2012,Home
Stray,2011,May,,,MALE,false,KITTN,ORANGE,2011,Other
Stray,2011,June,,,FEMALE,false,SMALL,WHITE,2011,Other
Stray,2012,January,,,MALE,false,MED,WHITE,2012,Euthanized
Owner Surrender,2012,May,GERM SHEPHERD - MIX,Older than 1 year,FEMALE,true,MED,TRICOLOR,2012,Home
Stray,2011,May,ROTTWEILER - MIX,Infant - Younger than 6 months,FEMALE,false,PUPPY,BLACK,2011,Home
Stray,2012,September,,Infant - Younger than 6 months,MALE,false,KITTN,BROWN,2012,Other
Owner Surrender,2011,July,,,MALE,false,MED,BLACK,2011,Euthanized
Owner Surrender,2011,March,,Older than 7 years,FEMALE,false,SMALL,CALICO,2011,Euthanized
Impound,2012,May,CHOW CHOW - MIX,Older than 7 years,MALE,false,MED,RED,2012,Euthanized
Stray,2011,August,CAIRN TERRIER - MIX,,MALE,false,MED,TAN,2011,Euthanized
