IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Owner Surrender,2012,August,POMERANIAN - CHIHUAHUA LH,Older than 7 years,FEMALE,false,TOY,TAN,2012
Stray,2012,June,,Older than 7 years,FEMALE,false,SMALL,BLACK,2012
Stray,2011,October,,Youth - Younger than 1 year,FEMALE,true,MED,CRM TABBY,2012
Stray,2011,December,,Older than 7 years,MALE,true,SMALL,BLACK,2012
Stray,2011,May,,,FEMALE,false,MED,BROWN,2011
Stray,2011,January,,,MALE,false,MED,BLACK,2011
Stray,2011,May,,Infant - Younger than 6 months,MALE,true,KITTN,ORG TABBY,2011
Stray,2011,December,,Older than 1 year,MALE,true,MED,TRICOLOR,2011
Impound,2012,February,CHOW CHOW - MIX,,MALE,true,LARGE,RED,2012
Stray,2012,July,,Older than 1 year,MALE,true,MED,BROWN,2012
Foster Return,2011,November,,Infant - Younger than 6 months,FEMALE,true,KITTN,BRN TABBY,2011
Stray,2011,November,POODLE MIN - SHIH TZU,Older than 1 year,MALE,true,SMALL,BLACK,2011
Owner Surrender,2011,February,,Older than 1 year,MALE,false,LARGE,WHITE,2011
Owner Surrender,2011,November,SCHNAUZER STAND - PURE BRED,Older than 7 years,FEMALE,true,MED,SILVER,2011
Owner Surrender,2011,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,WHITE,2011
Stray,2011,November,CAIRN TERRIER - MIX,Youth - Younger than 1 year,FEMALE,true,SMALL,TAN,2011
Stray,2011,May,,,UNKNOWN,false,PUPPY,BLACK,2011
Owner Surrender,2011,February,,Older than 1 year,FEMALE,true,MED,BLACK,2011
Stray,2011,December,,,UNKNOWN,false,LARGE,BRN TABBY,2011
Stray,2012,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2012
Stray,2011,October,,,UNKNOWN,false,KITTN,CALICO,2011
Stray,2012,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,BRN TABBY,2012
Stray,2011,October,,,UNKNOWN,false,MED,WHITE,2011
Foster Return,2012,June,,Infant - Younger than 6 months,MALE,true,SMALL,BLACK,2012
Stray,2012,April,,Older than 1 year,FEMALE,false,MED,TORTIE,2012
Stray,2011,November,,,MALE,false,LARGE,BR BRINDLE,2011
Stray,2011,March,BOXER - MIX,,MALE,false,PUPPY,BROWN,2011
Foster Return,2012,January,POINTER - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,WHITE,2012
Stray,2012,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,TORTIE,2012
Stray,2012,July,LABRADOR RETR - MIX,Older than 7 years,FEMALE,false,MED,BLACK,2012
Owner Surrender,2011,May,,,UNKNOWN,false,KITTN,BLK SMOKE,2011
Stray,2011,April,,,UNKNOWN,false,MED,WHITE,2011
Owner Surrender,2012,May,,Older than 1 year,FEMALE,true,LARGE,BRN TABBY,2012
Stray,2011,April,CHIHUAHUA SH - JACK RUSS TER,Older than 1 year,FEMALE,true,SMALL,WHITE,2011
Stray,2011,April,,,FEMALE,false,PUPPY,WHITE,2011
Impound,2011,March,LABRADOR RETR - MIX,Older than 1 year,MALE,false,LARGE,BLACK,2011
Owner Surrender,2011,November,LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,false,LARGE,RED,2011
Foster Return,2012,March,BOXER - BEAGLE,Older than 1 year,FEMALE,true,PUPPY,BROWN,2012
Owner Surrender,2011,January,,Older than 1 year,MALE,true,MED,CRM TABBY,2011
Stray,2011,July,,,UNKNOWN,false,KITTN,GRAY TABBY,2011
Stray,2012,August,BEAGLE - PIT BULL,Older than 7 years,FEMALE,false,MED,BROWN,2012
Foster Return,2012,September,,Older than 1 year,FEMALE,false,SMALL,BRN TABBY,2012
Owner Surrender,2012,July,YORKSHIRE TERR - PURE BRED,Older than 7 years,FEMALE,true,MED,BLACK,2012
Stray,2011,September,,,MALE,false,KITTN,BLK TIGER,2011
Stray,2011,April,BLACK/TAN HOUND - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,2011
Stray,2011,September,,,MALE,false,KITTN,GRAY,2011
Stray,2011,August,,,MALE,false,KITTN,BRN TABBY,2011
Stray,2012,July,,Older than 1 year,FEMALE,false,MED,GRAY,2012
Stray,2011,August,,,FEMALE,false,MED,GRAY,2011
Foster Return,2012,April,,Older than 1 year,MALE,false,KITTN,BRN TABBY,2012
Foster Return,2012,April,PIT BULL - LABRADOR RETR,Infant - Younger than 6 months,FEMALE,false,PUPPY,BROWN,2012
Stray,2011,July,HARRIER - MIX,Older than 1 year,FEMALE,false,MED,TAN,2011
Stray,2011,September,,,FEMALE,false,PUPPY,BROWN,2011
Stray,2011,June,,,MALE,true,LARGE,WHITE,2011
Stray,2011,December,BRITTANY - MIX,Youth - Younger than 1 year,MALE,true,MED,WHITE,2012
Stray,2011,April,SHIH TZU - MIX,,MALE,false,SMALL,WHITE,2011
Stray,2012,June,,Youth - Younger than 1 year,MALE,true,MED,BLACK,2012
Stray,2012,April,,,UNKNOWN,false,MED,ORANGE,2012
Stray,2011,February,BEAGLE - BORDER COLLIE,Infant - Younger than 6 months,FEMALE,true,PUPPY,WHITE,2011
Stray,2012,July,,Older than 1 year,FEMALE,false,MED,BLUE,2012
Reported Lost by Public,2012,September,,,MALE,false,X-LRG,UNKNOWN,2012
Stray,2011,June,,,FEMALE,false,LARGE,TAN,2011
Foster Return,2012,August,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2012
Stray,2011,December,,,MALE,false,SMALL,WHITE,2011
Stray,2012,August,,Infant - Younger than 6 months,MALE,false,PUPPY,FAWN,2012
Stray,2011,October,,,FEMALE,false,MED,BLACK,2011
Stray,2012,January,,,UNKNOWN,false,LARGE,BLACK,2012
Stray,2011,March,,,FEMALE,false,MED,CALICO,2011
Owner Surrender,2012,August,,Older than 7 years,FEMALE,true,LARGE,GRAY,2012
Stray,2011,September,,Older than 1 year,FEMALE,true,LARGE,GRAY,2011
Owner Surrender,2011,June,,Older than 1 year,MALE,true,MED,BROWN,2011
Stray,2011,April,,,FEMALE,false,MED,LYNX PT,2011
Foster Return,2012,July,SIAMESE - MIX,Infant - Younger than 6 months,FEMALE,true,KITTN,CREAM,2012
Stray,2012,April,PUG - AMER BULLDOG,Youth - Younger than 1 year,FEMALE,false,SMALL,BUFF,2012
Stray,2011,February,,,UNKNOWN,false,LARGE,BLK TIGER,2011
Owner Surrender,2011,May,CHIHUAHUA SH - MIX,,FEMALE,true,SMALL,TAN,2011
Owner Surrender,2011,December,,Older than 7 years,FEMALE,false,SMALL,CHOCOLATE,2011
Owner Surrender,2011,November,,Youth - Younger than 1 year,MALE,true,KITTN,BLACK,2011
Stray,2011,October,,Infant - Younger than 6 months,FEMALE,false,KITTN,CALICO,2011
Stray,2012,July,,,FEMALE,false,MED,BROWN,2012
Stray,2012,March,,Older than 1 year,MALE,false,LARGE,ORG TABBY,2012
Stray,2012,March,,,UNKNOWN,false,LARGE,BLACK,2012
Impound,2011,February,PIT BULL - MIX,,MALE,false,PUPPY,WHITE,2011
Owner Surrender,2011,November,,Older than 1 year,FEMALE,false,SMALL,GRAY TABBY,2011
Stray,2011,February,BEAGLE - MIX,Youth - Younger than 1 year,MALE,true,MED,TRICOLOR,2011
Stray,2011,June,,,MALE,false,KITTN,BUFF,2011
Stray,2011,June,,Older than 1 year,MALE,true,LARGE,WHITE,2011
Stray,2011,June,,Older than 1 year,MALE,false,TOY,WHITE,2011
Owner Surrender,2011,September,,,UNKNOWN,false,KITTN,BLACK,2011
Owner Surrender,2011,September,,Infant - Younger than 6 months,FEMALE,true,KITTN,BRN TABBY,2011
Owner Surrender,2012,April,,Older than 7 years,MALE,true,MED,GRAY,2012
Owner Surrender,2011,January,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,2011
Stray,2011,October,,,MALE,false,MED,BROWN,2011
Owner Surrender,2011,July,,Infant - Younger than 6 months,FEMALE,true,SMALL,BROWN,2011
Owner Surrender,2012,January,GREAT DANE - BOXER,Youth - Younger than 1 year,FEMALE,true,PUPPY,WHITE,2012
Stray,2012,May,,Older than 1 year,MALE,true,SMALL,CREAM,2012
Stray,2012,September,DALMATIAN - MIX,Older than 7 years,MALE,true,LARGE,WHITE,2012
Stray,2012,January,,,MALE,false,SMALL,WHITE,2012
Out Patient Spay or Neuter,2011,March,,Older than 1 year,MALE,true,TOY,FAWN,2011
Owner Surrender,2011,December,GREAT PYRENEES - LEONBERGER,Youth - Younger than 1 year,MALE,true,LARGE,TAN,2012
Stray,2012,September,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY TABBY,2012
Stray,2012,July,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY TABBY,2012
Stray,2011,November,,Older than 7 years,FEMALE,true,MED,TRICOLOR,2011
Owner Surrender,2011,February,,,FEMALE,false,LARGE,BROWN,2011
Owner Surrender,2011,April,,,FEMALE,false,MED,GRAY,2011
Owner Surrender,2012,April,,,UNKNOWN,false,KITTN,BLACK,2012
